,,,
,pdf,tasks,class assigned
,,Literature Review and Synthesis Planning,"Designs,Reports and Analyses"
,,Sythesis and Characterization,"Designs,Reports and Analyses"
,,Catalytic Testing and Optimization,"Designs,Reports and Analyses"
,,Final Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,Poster,"Designs,Reports and Analyses"
,LAW410,Orientation Attendance,Participation
,,Training Report,Milestones and Deliverables
,,Case Assignment Report,Milestones and Deliverables
,,Initial Research Summary,Milestones and Deliverables
,,Drafted Legal Documents,Milestones and Deliverables
,,Progress Report,Milestones and Deliverables
,,Case Management Report,Milestones and Deliverables
,,Court Appearance Reflection,Milestones and Deliverables
,,Final Reflection Paper,Milestones and Deliverables
,,Supervisor Evaluation,Other
,MATH499,Team Formation Report,Other
,,Fundamentals of Modeling Report,"Designs,Reports and Analyses"
,,Initial Modeling Proposal,Proposals and Plans
,,Midterm Presentation,Presentations and Demos
,,Advanced Techniques Report,"Designs,Reports and Analyses"
,,Draft Final Report,"Designs,Reports and Analyses"
,,Final Testing Report,"Designs,Reports and Analyses"
,,Final Presentaion,Presentations and Demos
,,Final Report,"Designs,Reports and Analyses"
,ME497,Team Charter & Presentation,Other
,,Background Report,"Designs,Reports and Analyses"
,,Preliminary Proposal,Proposals and Plans
,,Final Proposal,Proposals and Plans
,,Project Notebook,"Designs,Reports and Analyses"
,,weekly presentations,Participation
,MECH454,Project Selection,Other
,,Proposal Document,Proposals and Plans
,,Concept Presentations,"Designs,Reports and Analyses"
,,CFP Presentations,"Designs,Reports and Analyses"
,,Technical Analysis,"Designs,Reports and Analyses"
,,Alpha Design Review Presentation,"Designs,Reports and Analyses"
,,Test Protocol Reviews,"Designs,Reports and Analyses"
,,Design and Innovation Day,"Designs,Reports and Analyses"
,,Final Report,"Designs,Reports and Analyses"
,MECH320,Team Formation,Other
,,Project Proposal,Proposals and Plans
,,Thermodynamic Analysis Report,"Designs,Reports and Analyses"
,,Heat Transfer Analysis Report,"Designs,Reports and Analyses"
,,Midterm Progress Report,"Designs,Reports and Analyses"
,,Detailed Design Document,"Designs,Reports and Analyses"
,,Prototype Development and Testing Report,"Designs,Reports and Analyses"
,,Final Presentaition and Demonstration,Presentations and Demos
,MECH455,Project Proposal,Proposals and Plans
,,Conceptual Design Presentation,"Designs,Reports and Analyses"
,,Mechanical Design Report,"Designs,Reports and Analyses"
,,Control Systems Integration Report,"Designs,Reports and Analyses"
,,Interim Project Report,"Designs,Reports and Analyses"
,,Final Design Review Presentation,"Designs,Reports and Analyses"
,,Final Project Report,"Designs,Reports and Analyses"
,,Prototype Demonstration,Presentations and Demos
,MECH490,Team Formation,Other
,,Project Proposal,"Designs,Reports and Analyses"
,,Preliminary Design Review,"Designs,Reports and Analyses"
,,Prototype Development and Testing Report,"Designs,Reports and Analyses"
,,Midterm Presentation,Presentations and Demos
,,Final Design Review,"Designs,Reports and Analyses"
,,Final Prototype and Testing Report,"Designs,Reports and Analyses"
,,Final Presentation and Demonstration,Presentations and Demos
,MME4499,Team Formation,Participation
,,Project Selection,Participation
,,Report 1,"Designs,Reports and Analyses"
,,Report 2,"Designs,Reports and Analyses"
,,Concept Design Presentation,Presentations and Demos
,,Report 3,"Designs,Reports and Analyses"
,,Final Design Presentation,Presentations and Demos
,,"Final Project Report Prototyping, Testing, Design Iteratations","Designs,Reports and Analyses"
,,Participation,Participation
,BIO483,Class Meetings,Participation
,,Individual Meetings,Participation
,,Project Proposal,Proposals and Plans
,,Fieldwork and Data Collection,"Designs,Reports and Analyses"
,,Data Analysis and Ecosystem Modeling,"Designs,Reports and Analyses"
,,Hypothesis Testing and Conservation Planning,"Designs,Reports and Analyses"
,,Final Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,Poster,"Designs,Reports and Analyses"
,MED480,Class Meetings,Participation
,,Individual Meetings,Participation
,,Project Proposal,Proposals and Plans
,,Content Creation,"Designs,Reports and Analyses"
,,Implementation and Distribution,"Designs,Reports and Analyses"
,,Audience Feedback and Analysis,"Designs,Reports and Analyses"
,,Final Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,Poster,"Designs,Reports and Analyses"
,NAN480,Class Meetings,Proposals and Plans
,,Individual Meetings,Proposals and Plans
,,Project Proposal,Proposals and Plans
,,Design and Fabrication,"Designs,Reports and Analyses"
,,Characterization and Testing,"Designs,Reports and Analyses"
,,Optimization and Refinement,"Designs,Reports and Analyses"
,,Final Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,Poster,"Designs,Reports and Analyses"
,BIO485,Class Meetings,Participation
,,Individual Meetings,Participation
,,Project Proposal,Proposals and Plans
,,Literature Review and Hypothesis Development,"Designs,Reports and Analyses"
,,Experimental Design and Data Collection,"Designs,Reports and Analyses"
,,Data Analysis and Interpretation,"Designs,Reports and Analyses"
,,Final Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,Poster,"Designs,Reports and Analyses"
,AST484,Class meetings,Participation
,,Individual meetings,Participation
,,Project Proposal,Proposals and Plans
,,Observing Strategy and Data Collection,"Designs,Reports and Analyses"
,,Data Reduction and Analysis,"Designs,Reports and Analyses"
,,Hypothesis Testing and Interpretation,"Designs,Reports and Analyses"
,,Final Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,poster,"Designs,Reports and Analyses"
,CHM480,Class Meetings,Participation
,,Individual Meetings,Participation
,,Project Proposal,Proposals and Plans
,,Literature Review and Synthesis Planning,"Designs,Reports and Analyses"
,,Sythesis and Characterization,"Designs,Reports and Analyses"
,,Optimization and Yield Improvement,"Designs,Reports and Analyses"
,,Final Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,Poster,"Designs,Reports and Analyses"
,PSY460,Project Proposal,Proposals and Plans
,,Needs Assessment Report,"Designs,Reports and Analyses"
,,Program Design Document,"Designs,Reports and Analyses"
,,Stakeholder Feedback Summary,"Designs,Reports and Analyses"
,,Implementation Plan ,"Designs,Reports and Analyses"
,,Mid-Implementation Report,"Designs,Reports and Analyses"
,,Monitoring Report,"Designs,Reports and Analyses"
,,Final Evaluation Report,"Designs,Reports and Analyses"
,,Final Reflection Essay,"Designs,Reports and Analyses"
,PSY477,Class Meetings,Participation
,,Individual Meetings,Participation
,,Project Proposal,Proposals and Plans
,,Revised Proposal,Proposals and Plans
,,Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,Poster,"Designs,Reports and Analyses"
,PHY480,Class Meetings,Participation
,,Individual Meetings,Participation
,,Project Proposal,Proposals and Plans
,,Experiment Design and Simulation,"Designs,Reports and Analyses"
,,Experiment Implementation and Data Collection,"Designs,Reports and Analyses"
,,Data Analysis and Interpretation,"Designs,Reports and Analyses"
,,Final Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,Poster,"Designs,Reports and Analyses"
,PHM484,Class Meetings,Participation
,,Individual Meetings,Participation
,,Project Proposal,Proposals and Plans
,,Literature Review and Data Collection,"Designs,Reports and Analyses"
,,Economic Modeling and Analysis,"Designs,Reports and Analyses"
,,Scenario Analysis and Optimization,"Designs,Reports and Analyses"
,,Final Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,Poster,"Designs,Reports and Analyses"
,PHM487,Class Meetings,Participation
,,Individual Meetings,Participation
,,Project Proposal,Proposals and Plans
,,Literature Review and Risk Assessment,"Designs,Reports and Analyses"
,,Data Collection and Monitoring,"Designs,Reports and Analyses"
,,Signal Detection and Risk Mitigation,"Designs,Reports and Analyses"
,,Final Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,Poster,"Designs,Reports and Analyses"
,PHM483,Class Meetings,Participation
,,Individual Meetings,Participation
,,Project Proposal,Proposals and Plans
,,Literature Review and Practice Design,"Designs,Reports and Analyses"
,,Implementation Strategy and Simulation,"Designs,Reports and Analyses"
,,Outcome Evaluation and Optimization,"Designs,Reports and Analyses"
,,Final Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,Poster,"Designs,Reports and Analyses"
,CHM482,Class Meetings,Participation
,,Individual Meetings,Participation
,,Project Proposal,Proposals and Plans
,,Experiment Design and Simulation,"Designs,Reports and Analyses"
,,Experiment Implementation and Data Collection,"Designs,Reports and Analyses"
,,Data Analysis and Interpretation,"Designs,Reports and Analyses"
,,Final Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,Poster,"Designs,Reports and Analyses"
,POS480,Class Meetings,Participation
,,Individual Meetings,Participation
,,Project Proposal,Proposals and Plans
,,Research and Data Collection,"Designs,Reports and Analyses"
,,Analysis and Strategy Development,"Designs,Reports and Analyses"
,,Implementation and Outreach,Presentations and Demos
,,Final Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,Poster,"Designs,Reports and Analyses"
,Professional Communication Skills Course,Discussion Post,Participation
,,Project Proposal,Proposals and Plans
,,Research Methods,"Designs,Reports and Analyses"
,,Data Collection Plan,"Designs,Reports and Analyses"
,,Analysis Techniques,"Designs,Reports and Analyses"
,QNT480,Class Meetings,Participation
,,Individual Meetings,Participation
,,Project Proposal,Proposals and Plans
,,Algorithm Design and Simulation,"Designs,Reports and Analyses"
,,Quantum Implementation,"Designs,Reports and Analyses"
,,Performance Analysis and Optimization,"Designs,Reports and Analyses"
,,Final Report,"Designs,Reports and Analyses"
,,Presentation,Presentations and Demos
,,Poster,"Designs,Reports and Analyses"
,RSM270,Class Participation/Attendance,Participation
,,HBR Case Analysis,"Designs,Reports and Analyses"
,,Mid-Term Test,Exams
,,Assignment,Assignments
,,Final Exam,Exams
